Postcode;Plaatsnaam;Deelgemeente;Provincie
7120;ESTINNES;Neen;Henegouwen
7120;Estinnes-Au-Mont;Ja;Henegouwen
7120;Estinnes-Au-Val;Ja;Henegouwen
6740;ETALLE;Neen;Luxemburg
6760;Ethe;Ja;Luxemburg
9680;Etikhove;Ja;Oost-Vlaanderen 
8460;Ettelgem;Ja;West-Vlaanderen
1040;ETTERBEEK;Neen;Brussel (19 gemeenten)
7080;Eugies;Ja;Henegouwen
4700;EUPEN;Neen;Luik
1046;European External Action Service;;
1047;Europees Parlement;;
1049;Europese unie - Commissie;;
1048;Europese unie - Raad;;
4631;Evegnée;Ja;Luik
5350;Evelette;Ja;Namen
9660;Everbeek;Ja;Oost-Vlaanderen 
3078;Everberg;Ja;Vlaams-Brabant
1140;EVERE;Neen;Brussel (19 gemeenten)
9940;EVERGEM;Neen;Oost-Vlaanderen 
7730;Evregnies;Ja;Henegouwen
5530;Evrehailles;Ja;Namen
4731;Eynatten;Ja;Luik
3400;Ezemaal;Ja;Vlaams-Brabant
5600;Fagnolle;Ja;Namen
4317;FAIMES;Neen;Luik
5522;Falaen;Ja;Namen
5060;Falisolle;Ja;Namen
4260;Fallais;Ja;Luik
5500;Falmagne;Ja;Namen
5500;Falmignoul;Ja;Namen
7181;Familleureux;Ja;Henegouwen
6240;FARCIENNES;Neen;Henegouwen
5340;Faulx-Les-Tombes;Ja;Namen
7120;Fauroeulx;Ja;Henegouwen
6637;FAUVILLERS;Neen;Luxemburg
4950;Faymonville;Ja;Luik
6856;Fays-Les-Veneurs;Ja;Luxemburg
7387;Fayt-Le-Franc;Ja;Henegouwen
7170;Fayt-Lez-Manage;Ja;Henegouwen
5570;Felenne;Ja;Namen
7181;Feluy;Ja;Henegouwen
4607;Feneur;Ja;Luik
5380;FERNELMONT;Neen;Namen
4190;FERRIÈRES;Neen;Luik
5570;Feschaux;Ja;Namen
4347;FEXHE-LE-HAUT-CLOCHER;Neen;Luik
4458;Fexhe-Slins;Ja;Luik
4181;Filot;Ja;Luik
5560;Finnevaux;Ja;Namen
4530;Fize-Fontaine;Ja;Luik
4367;Fize-Le-Marsal;Ja;Luik
6686;Flamierge;Ja;Luxemburg
5620;Flavion;Ja;Namen
5020;Flawinne;Ja;Namen
4400;FLÉMALLE;Neen;Luik
4400;Flémalle-Grande;Ja;Luik
4400;Flémalle-Haute;Ja;Luik
7012;Flénu;Ja;Henegouwen
4620;FLÉRON;Neen;Luik
6220;FLEURUS;Neen;Henegouwen
4540;Flône;Ja;Luik
5334;Florée;Ja;Namen
5150;FLOREFFE;Neen;Namen
5620;FLORENNES;Neen;Namen
6820;FLORENVILLE;Neen;Luxemburg
5150;Floriffoux;Ja;Namen
5370;Flostoy;Ja;Namen
5572;Focant;Ja;Namen
1212;FOD Mobiliteit;;
1350;Folx-Les-Caves;Ja;Waals-Brabant
6140;FONTAINE-L'EVÊQUE;Neen;Henegouwen
6567;Fontaine-Valmont;Ja;Henegouwen
5650;Fontenelle;Ja;Namen
6820;Fontenoille;Ja;Luxemburg
7643;Fontenoy;Ja;Henegouwen
4340;Fooz;Ja;Luik
6141;Forchies-La-Marche;Ja;Henegouwen
7910;Forest;Ja;Henegouwen
4870;Forêt;Ja;Luik
6596;Forge-Philippe;Ja;Henegouwen
6464;Forges;Ja;Henegouwen
6953;Forrières;Ja;Luxemburg
5380;Forville;Ja;Namen
4980;Fosse;Ja;Luik
5070;FOSSES-LA-VILLE;Neen;Namen
7830;Fouleng;Ja;Henegouwen
6440;Fourbechies;Ja;Henegouwen
5504;Foy-Notre-Dame;Ja;Namen
4870;Fraipont;Ja;Luik
5650;Fraire;Ja;Namen
4557;Fraiture;Ja;Luik
7080;FRAMERIES;Neen;Henegouwen
6853;Framont;Ja;Luxemburg
5380;Franc-Waret;Ja;Namen
5600;Franchimont;Ja;Namen
4970;Francorchamps;Ja;Luik
5150;Franière;Ja;Namen
5660;Frasnes;Ja;Namen
7910;FRASNES-LEZ-ANVAING;Neen;Henegouwen
7911;Frasnes-Lez-Buissenal;Ja;Henegouwen
6210;Frasnes-Lez-Gosselies;Ja;Henegouwen
4347;Freloux;Ja;Luik
6800;Freux;Ja;Luxemburg
6440;FROIDCHAPELLE;Neen;Henegouwen
5576;Froidfontaine;Ja;Namen
7504;Froidmont;Ja;Henegouwen
6990;Fronville;Ja;Luxemburg
7503;Froyennes;Ja;Henegouwen
4260;Fumal;Ja;Luik
5500;Furfooz;Ja;Namen
5641;Furnaux;Ja;Namen
1750;Gaasbeek;Ja;Vlaams-Brabant
7943;Gages;Ja;Henegouwen
7906;Gallaix;Ja;Henegouwen
1570;GALMAARDEN;Neen;Vlaams-Brabant
1083;GANSHOREN;Neen;Brussel (19 gemeenten)
7530;Gaurain-Ramecroix;Ja;Henegouwen
9890;GAVERE;Neen;Oost-Vlaanderen 
5575;GEDINNE;Neen;Namen
2440;GEEL;Neen;Antwerpen
4250;GEER;Neen;Luik
1367;Geest-Gérompont-Petit-Rosière;Ja;Waals-Brabant
3450;GEETBETS;Neen;Vlaams-Brabant
5024;Gelbressée;Ja;Namen
3800;Gelinden;Ja;Limburg
3620;Gellik;Ja;Limburg
3200;Gelrode;Ja;Vlaams-Brabant
8980;Geluveld;Ja;West-Vlaanderen
8940;Geluwe;Ja;West-Vlaanderen
6929;Gembes;Ja;Luxemburg
5030;GEMBLOUX;Neen;Namen
4851;Gemmenich;Ja;Luik
1470;GENAPPE;Neen;Waals-Brabant
3600;GENK;Neen;Limburg
7040;Genly;Ja;Henegouwen
3770;Genoelselderen;Ja;Limburg
9000;GENT;Neen;Oost-Vlaanderen 
9099;Gent X;;
9050;Gentbrugge;Ja;Oost-Vlaanderen 
1450;Gentinnes;Ja;Waals-Brabant
1332;Genval;Ja;Waals-Brabant
9500;GERAARDSBERGEN;Neen;Oost-Vlaanderen 
3960;Gerdingen;Ja;Limburg
5524;Gerin;Ja;Namen
1367;Gérompont;Ja;Waals-Brabant
6769;Gérouville;Ja;Luxemburg
6280;GERPINNES;Neen;Henegouwen
2590;Gestel;Ja;Antwerpen
5340;GESVES;Neen;Namen
7822;Ghislenghien;Ja;Henegouwen
7011;Ghlin;Ja;Henegouwen
7863;Ghoy;Ja;Henegouwen
7823;Gibecq;Ja;Henegouwen
2275;Gierle;Ja;Antwerpen
8691;Gijverinkhove;Ja;West-Vlaanderen
9308;Gijzegem;Ja;Oost-Vlaanderen 
8570;Gijzelbrechtegem;Ja;West-Vlaanderen
9860;Gijzenzele;Ja;Oost-Vlaanderen 
6060;Gilly;Ja;Henegouwen
5680;Gimnée;Ja;Namen
3890;GINGELOM;Neen;Limburg
8470;GISTEL;Neen;West-Vlaanderen
8830;Gits;Ja;West-Vlaanderen
7041;Givry;Ja;Henegouwen
1473;Glabais;Ja;Waals-Brabant
3380;GLABBEEK;Neen;Vlaams-Brabant
4000;Glain;Ja;Luik
4400;Gleixhe;Ja;Luik
1315;Glimes;Ja;Waals-Brabant
4690;Glons;Ja;Luik
5680;Gochenée;Ja;Namen
7160;Godarville;Ja;Henegouwen
5530;Godinne;Ja;Namen
9620;Godveerdegem;Ja;Oost-Vlaanderen 
4834;Goé;Ja;Luik
9500;Goeferdinge;Ja;Oost-Vlaanderen 
7040;Goegnies-Chaussée;Ja;Henegouwen
5353;Goesnes;Ja;Namen
3300;Goetsenhoven;Ja;Vlaams-Brabant
4140;Gomzé-Andoumont;Ja;Luik
7830;Gondregnies;Ja;Henegouwen
5660;Gonrieux;Ja;Namen
9090;Gontrode;Ja;Oost-Vlaanderen 
1755;GOOIK;Neen;Vlaams-Brabant
3840;Gors-Opleeuw;Ja;Limburg
3803;Gorsem;Ja;Limburg
6041;Gosselies;Ja;Henegouwen
3840;Gotem;Ja;Limburg
9800;Gottem;Ja;Oost-Vlaanderen 
7070;Gottignies;Ja;Henegouwen
6280;Gougnies;Ja;Henegouwen
5651;Gourdinne;Ja;Namen
6030;Goutroux;Ja;Henegouwen
6670;GOUVY;Neen;Luxemburg
6181;Gouy-Lez-Piéton;Ja;Henegouwen
6534;Gozée;Ja;Henegouwen
4460;Grâce-Berleur;Ja;Luik
4460;GRÂCE-HOLLOGNE;Neen;Luik
5555;Graide;Ja;Namen
9800;Grammene;Ja;Oost-Vlaanderen 
4300;Grand-Axhe;Ja;Luik
4280;Grand-Hallet;Ja;Luik
6698;Grand-Halleux;Ja;Luxemburg
5031;Grand-Leez;Ja;Namen
5030;Grand-Manil;Ja;Namen
4650;Grand-Rechain;Ja;Luik
6560;Grand-Reng;Ja;Henegouwen
1367;Grand-Rosière-Hottomont;Ja;Waals-Brabant
7973;Grandglise;Ja;Henegouwen
6940;Grandhan;Ja;Luxemburg
6960;Grandmenil;Ja;Luxemburg
7900;Grandmetz;Ja;Henegouwen
6470;Grandrieu;Ja;Henegouwen
4360;Grandville;Ja;Luik
6840;Grandvoir;Ja;Luxemburg
6840;Grapfontaine;Ja;Luxemburg
7830;Graty;Ja;Henegouwen
5640;Graux;Ja;Namen
3450;Grazen;Ja;Vlaams-Brabant
9200;Grembergen;Ja;Oost-Vlaanderen 
1390;GREZ-DOICEAU;Neen;Waals-Brabant
1850;GRIMBERGEN;Neen;Vlaams-Brabant
9506;Grimminge;Ja;Oost-Vlaanderen 
4030;Grivegnee;Ja;Luik
2280;GROBBENDONK;Neen;Antwerpen
1702;Groot-Bijgaarden;Ja;Vlaams-Brabant
3800;Groot-Gelmen;Ja;Limburg
3840;Groot-Loon;Ja;Limburg
5555;Gros-Fays;Ja;Namen
7950;Grosage;Ja;Henegouwen
3990;Grote-Brogel;Ja;Limburg
3740;Grote-Spouwen;Ja;Limburg
9620;Grotenberge;Ja;Oost-Vlaanderen 
3670;Gruitrode;Ja;Limburg
6952;Grune;Ja;Luxemburg
6927;Grupont;Ja;Luxemburg
7620;Guignies;Ja;Henegouwen
3723;Guigoven;Ja;Limburg
6704;Guirsch;Ja;Luxemburg
8560;Gullegem;Ja;West-Vlaanderen
3870;Gutshoven;Ja;Limburg
3150;HAACHT;Neen;Vlaams-Brabant
9450;HAALTERT;Neen;Oost-Vlaanderen 
9120;Haasdonk;Ja;Oost-Vlaanderen 
3053;Haasrode;Ja;Vlaams-Brabant
6720;HABAY;Neen;Luxemburg
6720;Habay-La-Neuve;Ja;Luxemburg
6723;Habay-La-Vieille;Ja;Luxemburg
6782;Habergy;Ja;Luxemburg
4684;Haccourt;Ja;Luik
6720;Hachy;Ja;Luxemburg
7911;Hacquegnies;Ja;Henegouwen
5351;Haillot;Ja;Namen
7100;Haine-Saint-Paul;Ja;Henegouwen
7100;Haine-Saint-Pierre;Ja;Henegouwen
7350;Hainin;Ja;Henegouwen
3300;Hakendover;Ja;Vlaams-Brabant
6792;Halanzy;Ja;Luxemburg
3545;HALEN;Neen;Limburg
2220;Hallaar;Ja;Antwerpen
1500;HALLE;Neen;Vlaams-Brabant
2980;Halle;Ja;Antwerpen
3440;Halle-Booienhoven;Ja;Vlaams-Brabant
6986;Halleux;Ja;Luxemburg
6922;Halma;Ja;Luxemburg
3800;Halmaal;Ja;Limburg
5340;Haltinne;Ja;Namen
3945;HAM;Neen;Limburg
6120;HAM-SUR-HEURE;Neen;Henegouwen
5190;Ham-Sur-Sambre;Ja;Namen
6840;Hamipré;Ja;Luxemburg
1785;Hamme;Ja;Vlaams-Brabant
9220;HAMME;Neen;Oost-Vlaanderen 
1320;Hamme-Mille;Ja;Waals-Brabant
4180;HAMOIR;Neen;Luik
5360;HAMOIS;Neen;Namen
3930;Hamont;Ja;Limburg
3930;HAMONT-ACHEL;Neen;Limburg
6990;Hampteau;Ja;Luxemburg
5580;Han-Sur-Lesse;Ja;Namen
8610;Handzame;Ja;West-Vlaanderen
4357;Haneffe;Ja;Luik
4210;Hannêche;Ja;Luik
4280;HANNUT;Neen;Luik
5310;Hanret;Ja;Namen
9850;Hansbeke;Ja;Oost-Vlaanderen 
6560;Hantes-Wihéries;Ja;Henegouwen
5621;Hanzinelle;Ja;Namen
5621;Hanzinne;Ja;Namen
7321;Harchies;Ja;Henegouwen
8530;HARELBEKE;Neen;West-Vlaanderen
1130;Haren;Ja;Brussel (19 gemeenten)
3700;Haren;Ja;Limburg
3840;Haren;Ja;Limburg
6900;Hargimont;Ja;Luxemburg
7022;Harmignies;Ja;Henegouwen
6767;Harnoncourt;Ja;Luxemburg
6960;Harre;Ja;Luxemburg
6950;Harsin;Ja;Luxemburg
7022;Harveng;Ja;Henegouwen
4920;Harzé;Ja;Luik
3500;HASSELT;Neen;Limburg
5540;HASTIÈRE;Neen;Namen
5540;Hastière-Lavaux;Ja;Namen
5541;Hastière-Par-Delà;Ja;Namen
6870;Hatrival;Ja;Luxemburg
7120;Haulchin;Ja;Henegouwen
4730;Hauset;Ja;Luik
6929;Haut-Fays;Ja;Luxemburg
1461;Haut-Ittre;Ja;Waals-Brabant
5537;Haut-Le-Wastia;Ja;Namen
7334;Hautrage;Ja;Henegouwen
7041;Havay;Ja;Henegouwen
5370;HAVELANGE;Neen;Namen
5590;Haversin;Ja;Namen
7531;Havinnes;Ja;Henegouwen
7021;Havre;Ja;Henegouwen
3940;Hechtel;Ja;Limburg
3940;HECHTEL-EKSEL;Neen;Limburg
5543;Heer;Ja;Namen
3870;HEERS;Neen;Limburg
3740;Hees;Ja;Limburg
8551;Heestert;Ja;West-Vlaanderen
2801;Heffen;Ja;Antwerpen
1670;Heikruis;Ja;Vlaams-Brabant
2830;Heindonk;Ja;Antwerpen
6700;Heinsch;Ja;Luxemburg
8301;Heist-Aan-Zee;Ja;West-Vlaanderen
2220;HEIST-OP-DEN-BERG;Neen;Antwerpen
1790;Hekelgem;Ja;Vlaams-Brabant
3870;Heks;Ja;Limburg
3530;Helchteren;Ja;Limburg
9450;Heldergem;Ja;Oost-Vlaanderen 
1357;HÉLÉCINE;Neen;Waals-Brabant
3440;Helen-Bos;Ja;Vlaams-Brabant
8587;Helkijn;Ja;West-Vlaanderen
7830;Hellebecq;Ja;Henegouwen
9571;Hemelveerdegem;Ja;Oost-Vlaanderen 
2620;HEMIKSEM;Neen;Antwerpen
5380;Hemptinne;Ja;Namen
5620;Hemptinne-Lez-Florennes;Ja;Namen
3840;Hendrieken;Ja;Limburg
3700;Henis;Ja;Limburg
7090;Hennuyères;Ja;Henegouwen
4841;Henri-Chapelle;Ja;Luik
7090;Henripont;Ja;Henegouwen
7350;HENSIES;Neen;Henegouwen
3971;Heppen;Ja;Limburg
4771;Heppenbach;Ja;Luik
6220;Heppignies;Ja;Henegouwen
6887;HERBEUMONT;Neen;Luxemburg
7050;Herchies;Ja;Henegouwen
3770;Herderen;Ja;Limburg
9310;Herdersem;Ja;Oost-Vlaanderen 
3020;HERENT;Neen;Vlaams-Brabant
2200;HERENTALS;Neen;Antwerpen
2270;HERENTHOUT;Neen;Antwerpen
1540;Herfelingen;Ja;Vlaams-Brabant
4728;Hergenrath;Ja;Luik
7742;Hérinnes-Lez-Pecq;Ja;Henegouwen
3540;HERK-DE-STAD;Neen;Limburg
4681;Hermalle-Sous-Argenteau;Ja;Luik
4480;Hermalle-Sous-Huy;Ja;Luik
4680;Hermée;Ja;Luik
5540;Hermeton-Sur-Meuse;Ja;Namen
1540;HERNE;Neen;Vlaams-Brabant
4217;HÉRON;Neen;Luik
7911;Herquegies;Ja;Henegouwen
7712;Herseaux;Ja;Henegouwen
2230;HERSELT;Neen;Antwerpen
4040;HERSTAL;Neen;Luik
3717;HERSTAPPE;Neen;Limburg
7522;Hertain;Ja;Henegouwen
3831;Herten;Ja;Limburg
8020;Hertsberge;Ja;West-Vlaanderen
4650;HERVE;Neen;Luik
9550;HERZELE;Neen;Oost-Vlaanderen 
8501;Heule;Ja;West-Vlaanderen
5377;Heure;Ja;Namen
4682;Heure-Le-Romain;Ja;Luik
9700;Heurne;Ja;Oost-Vlaanderen 
3550;Heusden;Ja;Limburg
9070;Heusden;Ja;Oost-Vlaanderen 
3550;HEUSDEN-ZOLDER;Neen;Limburg
4802;Heusy;Ja;Luik
8950;HEUVELLAND;Neen;West-Vlaanderen
3191;Hever;Ja;Vlaams-Brabant
3001;Heverlee;Ja;Vlaams-Brabant
1435;Hévillers;Ja;Waals-Brabant
6941;Heyd;Ja;Luxemburg
1733;HighCo DATA;;
9550;Hillegem;Ja;Oost-Vlaanderen 
2880;Hingene;Ja;Antwerpen
5380;Hingeon;Ja;Namen
6984;Hives;Ja;Luxemburg
2660;Hoboken;Ja;Antwerpen
4351;Hodeige;Ja;Luik
6987;Hodister;Ja;Luxemburg
4162;Hody;Ja;Luik
3320;HOEGAARDEN;Neen;Vlaams-Brabant
1560;HOEILAART;Neen;Vlaams-Brabant
8340;Hoeke;Ja;West-Vlaanderen
3746;Hoelbeek;Ja;Limburg
3471;Hoeleden;Ja;Vlaams-Brabant
3840;Hoepertingen;Ja;Limburg
3730;HOESELT;Neen;Limburg
2940;Hoevenen;Ja;Antwerpen
1981;Hofstade;Ja;Vlaams-Brabant
9308;Hofstade;Ja;Oost-Vlaanderen 
5377;Hogne;Ja;Namen
4342;Hognoul;Ja;Luik
7620;Hollain;Ja;Henegouwen
6637;Hollange;Ja;Luxemburg
8902;Hollebeke;Ja;West-Vlaanderen
4460;Hollogne-Aux-Pierres;Ja;Luik
4250;Hollogne-Sur-Geer;Ja;Luik
3220;HOLSBEEK;Neen;Vlaams-Brabant
2811;Hombeek;Ja;Antwerpen
4852;Hombourg;Ja;Luik
6640;Hompré;Ja;Luxemburg
6780;Hondelange;Ja;Luxemburg
5570;Honnay;Ja;Namen
7387;HONNELLES;Neen;Henegouwen
8830;HOOGLEDE;Neen;West-Vlaanderen
8690;Hoogstade;Ja;West-Vlaanderen
2320;HOOGSTRATEN;Neen;Antwerpen
9667;HOREBEKE;Neen;Oost-Vlaanderen 
4460;Horion-Hozémont;Ja;Luik
7301;Hornu;Ja;Henegouwen
3870;Horpmaal;Ja;Limburg
7060;Horrues;Ja;Henegouwen
6990;HOTTON;Neen;Luxemburg
6724;Houdemont;Ja;Luxemburg
7110;Houdeng-Aimeries;Ja;Henegouwen
7110;Houdeng-Goegnies;Ja;Henegouwen
5575;Houdremont;Ja;Namen
6660;HOUFFALIZE;Neen;Luxemburg
5563;Hour;Ja;Namen
4671;Housse;Ja;Luik
1476;Houtain-Le-Val;Ja;Waals-Brabant
4682;Houtain-Saint-Siméon;Ja;Luik
7812;Houtaing;Ja;Henegouwen
8377;Houtave;Ja;West-Vlaanderen
8630;Houtem;Ja;West-Vlaanderen
3530;Houthalen;Ja;Limburg
3530;HOUTHALEN-HELCHTEREN;Neen;Limburg
7781;Houthem;Ja;Henegouwen
8650;HOUTHULST;Neen;West-Vlaanderen
2235;Houtvenne;Ja;Antwerpen
3390;Houwaart;Ja;Vlaams-Brabant
5530;Houx;Ja;Namen
5560;HOUYET;Neen;Namen
2540;HOVE;Neen;Antwerpen
7830;Hoves;Ja;Henegouwen
7624;Howardries;Ja;Henegouwen
4520;Huccorgne;Ja;Luik
9750;Huise;Ja;Oost-Vlaanderen 
7950;Huissignies;Ja;Henegouwen
1654;Huizingen;Ja;Vlaams-Brabant
3040;HULDENBERG;Neen;Vlaams-Brabant
2235;HULSHOUT;Neen;Antwerpen
5560;Hulsonniaux;Ja;Namen
8531;Hulste;Ja;West-Vlaanderen
6900;Humain;Ja;Luxemburg
1851;Humbeek;Ja;Vlaams-Brabant
9630;Hundelgem;Ja;Oost-Vlaanderen 
1367;Huppaye;Ja;Waals-Brabant
4500;HUY;Neen;Luik
7022;Hyon;Ja;Henegouwen
8480;ICHTEGEM;Neen;West-Vlaanderen
9472;Iddergem;Ja;Oost-Vlaanderen 
9506;Idegem;Ja;Oost-Vlaanderen 
8900;IEPER;Neen;West-Vlaanderen
9340;Impe;Ja;Oost-Vlaanderen 
1315;INCOURT;Neen;Waals-Brabant
8770;INGELMUNSTER;Neen;West-Vlaanderen
8570;Ingooigem;Ja;West-Vlaanderen
1041;International press center;;
7801;Irchonwelz;Ja;Henegouwen
7822;Isières;Ja;Henegouwen
5032;Isnes;Ja;Namen
2222;Itegem;Ja;Antwerpen
1701;Itterbeek;Ja;Vlaams-Brabant
1460;ITTRE;Neen;Waals-Brabant
4400;Ivoz-Ramet;Ja;Luik
8870;IZEGEM;Neen;West-Vlaanderen
6810;Izel;Ja;Luxemburg
8691;Izenberge;Ja;West-Vlaanderen
6941;Izier;Ja;Luxemburg
8490;JABBEKE;Neen;West-Vlaanderen
4845;JALHAY;Neen;Luik
5354;Jallet;Ja;Namen
5600;Jamagne;Ja;Namen
5100;Jambes;Ja;Namen
5600;Jamiolle;Ja;Namen
6120;Jamioulx;Ja;Henegouwen
6810;Jamoigne;Ja;Luxemburg
1350;Jandrain-Jandrenouille;Ja;Waals-Brabant
1350;Jauche;Ja;Waals-Brabant
1370;Jauchelette;Ja;Waals-Brabant
5570;Javingue;Ja;Namen
4540;Jehay;Ja;Luik
6880;Jehonville;Ja;Luxemburg
7012;Jemappes;Ja;Henegouwen
5580;Jemelle;Ja;Namen
5589;Jemelle;;
4101;Jemeppe-Sur-Meuse;Ja;Luik
5190;JEMEPPE-SUR-SAMBRE;Neen;Namen
4357;Jeneffe;Ja;Luik
5370;Jeneffe;Ja;Namen
3840;Jesseren;Ja;Limburg
1090;JETTE;Neen;Brussel (19 gemeenten)
3890;Jeuk;Ja;Limburg
1370;JODOIGNE;Neen;Waals-Brabant
1370;Jodoigne-Souveraine;Ja;Waals-Brabant
7620;Jollain-Merlin;Ja;Henegouwen
6280;Joncret;Ja;Henegouwen
4650;Julémont;Ja;Luik
6040;Jumet;Ja;Henegouwen
4020;Jupille-Sur-Meuse;Ja;Luik
4450;JUPRELLE;Neen;Luik
7050;JURBISE;Neen;Henegouwen
6642;Juseret;Ja;Luxemburg
8600;Kaaskerke;Ja;West-Vlaanderen
8870;Kachtem;Ja;West-Vlaanderen
3293;Kaggevinne;Ja;Vlaams-Brabant
7540;Kain;Ja;Henegouwen
9270;Kalken;Ja;Oost-Vlaanderen 
9120;Kallo;Ja;Oost-Vlaanderen 
9130;Kallo;Ja;Oost-Vlaanderen 
2920;KALMTHOUT;Neen;Antwerpen
1008;Kamer van Volksvertegenwoordigers;;
1910;KAMPENHOUT;Neen;Vlaams-Brabant
8700;Kanegem;Ja;West-Vlaanderen
3770;Kanne;Ja;Limburg
1880;KAPELLE-OP-DEN-BOS;Neen;Vlaams-Brabant
2950;KAPELLEN;Neen;Antwerpen
3381;Kapellen;Ja;Vlaams-Brabant
9970;KAPRIJKE;Neen;Oost-Vlaanderen 
8572;Kaster;Ja;West-Vlaanderen
2460;KASTERLEE;Neen;Antwerpen
3950;Kaulille;Ja;Limburg
3140;KEERBERGEN;Neen;Vlaams-Brabant
8600;Keiem;Ja;West-Vlaanderen
4720;KELMIS;Neen;Luik
4367;Kemexhe;Ja;Luik
8956;Kemmel;Ja;West-Vlaanderen
9190;Kemzeke;Ja;Oost-Vlaanderen 
8581;Kerkhove;Ja;West-Vlaanderen
3370;Kerkom;Ja;Vlaams-Brabant
3800;Kerkom-Bij-Sint-Truiden;Ja;Limburg
9451;Kerksken;Ja;Oost-Vlaanderen 
3510;Kermt;Ja;Limburg
3840;Kerniel;Ja;Limburg
3472;Kersbeek-Miskom;Ja;Vlaams-Brabant
2560;Kessel;Ja;Antwerpen
3010;Kessel Lo;Ja;Vlaams-Brabant
3640;Kessenich;Ja;Limburg
1755;Kester;Ja;Vlaams-Brabant
4701;Kettenis;Ja;Luik
5060;Keumiée;Ja;Namen
9130;Kieldrecht;Ja;Oost-Vlaanderen 
3640;KINROOI;Neen;Limburg
3870;Klein-Gelmen;Ja;Limburg
3990;Kleine-Brogel;Ja;Limburg
3740;Kleine-Spouwen;Ja;Limburg
8420;Klemskerke;Ja;West-Vlaanderen
8650;Klerken;Ja;West-Vlaanderen
9690;KLUISBERGEN;Neen;Oost-Vlaanderen 
9940;Kluizen;Ja;Oost-Vlaanderen 
9910;KNESSELARE;Neen;Oost-Vlaanderen 
8300;Knokke;Ja;West-Vlaanderen
8300;KNOKKE-HEIST;Neen;West-Vlaanderen
1730;Kobbegem;Ja;Vlaams-Brabant
8680;KOEKELARE;Neen;West-Vlaanderen
1081;KOEKELBERG;Neen;Brussel (19 gemeenten)
3582;Koersel;Ja;Limburg
8670;KOKSIJDE;Neen;West-Vlaanderen
3700;Kolmont;Ja;Limburg
3840;Kolmont;Ja;Limburg
7780;Komen;Ja;Henegouwen
7780;KOMEN-WAASTEN;Neen;Henegouwen
2500;Koningshooikt;Ja;Antwerpen
3700;Koninksem;Ja;Limburg
2550;KONTICH;Neen;Antwerpen
8510;Kooigem;Ja;West-Vlaanderen
8000;Koolkerke;Ja;West-Vlaanderen
8851;Koolskamp;Ja;West-Vlaanderen
3060;Korbeek-Dijle;Ja;Vlaams-Brabant
3360;Korbeek-Lo;Ja;Vlaams-Brabant
8610;KORTEMARK;Neen;West-Vlaanderen
3470;KORTENAKEN;Neen;Vlaams-Brabant
3070;KORTENBERG;Neen;Vlaams-Brabant
3720;KORTESSEM;Neen;Limburg
3890;Kortijs;Ja;Limburg
8500;KORTRIJK;Neen;West-Vlaanderen
3220;Kortrijk-Dutsel;Ja;Vlaams-Brabant
3850;Kozen;Ja;Limburg
1950;KRAAINEM;Neen;Vlaams-Brabant
8972;Krombeke;Ja;West-Vlaanderen
9150;KRUIBEKE;Neen;Oost-Vlaanderen 
9770;KRUISHOUTEM;Neen;Oost-Vlaanderen 
3300;Kumtich;Ja;Vlaams-Brabant
3511;Kuringen;Ja;Limburg
3840;Kuttekoven;Ja;Limburg
8520;KUURNE;Neen;West-Vlaanderen
3945;Kwaadmechelen;Ja;Limburg
9690;Kwaremont;Ja;Oost-Vlaanderen 
1320;L'Ecluse;Ja;Waals-Brabant
6464;L'Escaillère;Ja;Henegouwen
7080;La Bouverie;Ja;Henegouwen
5080;LA BRUYÈRE;Neen;Namen
7611;La Glanerie;Ja;Henegouwen
4987;La Gleize;Ja;Luik
7170;La Hestre;Ja;Henegouwen
1310;LA HULPE;Neen;Waals-Brabant
7100;LA LOUVIÈRE;Neen;Henegouwen
4910;La Reid;Ja;Luik
6980;LA ROCHE-EN-ARDENNE;Neen;Luxemburg
2430;LAAKDAL;Neen;Antwerpen
3400;Laar;Ja;Vlaams-Brabant
9270;LAARNE;Neen;Oost-Vlaanderen 
6567;Labuissière;Ja;Henegouwen
6821;Lacuisine;Ja;Luxemburg
7950;Ladeuze;Ja;Henegouwen
5550;Laforet;Ja;Namen
7890;Lahamaide;Ja;Henegouwen
1020;Laken;Ja;Brussel (19 gemeenten)
7522;Lamain;Ja;Henegouwen
4800;Lambermont;Ja;Luik
6220;Lambusart;Ja;Henegouwen
4350;Lamine;Ja;Luik
4210;Lamontzée;Ja;Luik
6767;Lamorteau;Ja;Luxemburg
8600;Lampernisse;Ja;West-Vlaanderen
3620;LANAKEN;Neen;Limburg
4600;Lanaye;Ja;Luik
9850;Landegem;Ja;Oost-Vlaanderen 
6111;Landelies;Ja;Henegouwen
3400;LANDEN;Neen;Vlaams-Brabant
5300;Landenne;Ja;Namen
9860;Landskouter;Ja;Oost-Vlaanderen 
5651;Laneffe;Ja;Namen
3201;Langdorp;Ja;Vlaams-Brabant
8920;Langemark;Ja;West-Vlaanderen
8920;LANGEMARK-POELKAPELLE;Neen;West-Vlaanderen
3650;Lanklaar;Ja;Limburg
7800;Lanquesaint;Ja;Henegouwen
4450;Lantin;Ja;Luik
4300;Lantremange;Ja;Luik
7622;Laplaigne;Ja;Henegouwen
8340;Lapscheure;Ja;West-Vlaanderen
1380;LASNE;Neen;Waals-Brabant
1380;Lasne-Chapelle-Saint-Lambert;Ja;Waals-Brabant
1370;Lathuy;Ja;Waals-Brabant
