Postcode;Plaatsnaam;Deelgemeente;Provincie
4520;Bas-Oha;Ja;Luik
7971;Basècles;Ja;Henegouwen
4983;Basse-Bodeux;Ja;Luik
4690;BASSENGE;Neen;Luik
9968;Bassevelde;Ja;Oost-Vlaanderen 
7830;Bassilly;Ja;Henegouwen
6600;BASTOGNE;Neen;Luxemburg
3870;Batsheers;Ja;Limburg
4651;Battice;Ja;Luik
7130;Battignies;Ja;Henegouwen
7331;Baudour;Ja;Henegouwen
7870;Bauffe;Ja;Henegouwen
7604;Baugnies;Ja;Henegouwen
1401;Baulers;Ja;Waals-Brabant
9520;Bavegem;Ja;Oost-Vlaanderen 
8531;Bavikhove;Ja;West-Vlaanderen
9150;Bazel;Ja;Oost-Vlaanderen 
4052;Beaufays;Ja;Luik
6500;BEAUMONT;Neen;Henegouwen
5570;BEAURAING;Neen;Namen
6980;Beausaint;Ja;Luxemburg
1320;BEAUVECHAIN;Neen;Waals-Brabant
6594;Beauwelz;Ja;Henegouwen
7532;Beclers;Ja;Henegouwen
3960;Beek;Ja;Limburg
9630;Beerlegem;Ja;Oost-Vlaanderen 
8730;BEERNEM;Neen;West-Vlaanderen
2340;BEERSE;Neen;Antwerpen
1650;BEERSEL;Neen;Vlaams-Brabant
8600;Beerst;Ja;West-Vlaanderen
1673;Beert;Ja;Vlaams-Brabant
9080;Beervelde;Ja;Oost-Vlaanderen 
2580;Beerzel;Ja;Antwerpen
5000;Beez;Ja;Namen
6987;Beffe;Ja;Luxemburg
3130;BEGIJNENDIJK;Neen;Vlaams-Brabant
6672;Beho;Ja;Luxemburg
1852;Beigem;Ja;Vlaams-Brabant
8480;Bekegem;Ja;West-Vlaanderen
1730;Bekkerzeel;Ja;Vlaams-Brabant
3460;BEKKEVOORT;Neen;Vlaams-Brabant
1009;Belgische Senaat;;
5001;Belgrade;Ja;Namen
4610;Bellaire;Ja;Luik
7170;Bellecourt;Ja;Henegouwen
5555;Bellefontaine;Ja;Namen
6730;Bellefontaine;Ja;Luxemburg
8510;Bellegem;Ja;West-Vlaanderen
9881;Bellem;Ja;Oost-Vlaanderen 
6834;Bellevaux;Ja;Luxemburg
4960;Bellevaux-Ligneuville;Ja;Luik
1674;Bellingen;Ja;Vlaams-Brabant
7970;BELOEIL;Neen;Henegouwen
9111;Belsele;Ja;Oost-Vlaanderen 
4500;Ben-Ahin;Ja;Luik
6941;Bende;Ja;Luxemburg
3540;Berbroek;Ja;Limburg
2600;Berchem;Ja;Antwerpen
9690;Berchem;Ja;Oost-Vlaanderen 
2040;Berendrecht;Ja;Antwerpen
1910;Berg;Ja;Vlaams-Brabant
3700;Berg;Ja;Limburg
4360;Bergilers;Ja;Luik
3580;BERINGEN;Neen;Limburg
2590;BERLAAR;Neen;Antwerpen
9290;BERLARE;Neen;Oost-Vlaanderen 
3830;Berlingen;Ja;Limburg
4257;BERLOZ;Neen;Luik
4607;Berneau;Ja;Luik
7320;BERNISSART;Neen;Henegouwen
6560;Bersillies-L'Abbaye;Ja;Henegouwen
3060;BERTEM;Neen;Vlaams-Brabant
6687;BERTOGNE;Neen;Luxemburg
4280;Bertrée;Ja;Luik
6880;BERTRIX;Neen;Luxemburg
5651;Berzée;Ja;Namen
8980;Beselare;Ja;West-Vlaanderen
3130;Betekom;Ja;Vlaams-Brabant
4300;Bettincourt;Ja;Luik
5030;Beuzet;Ja;Namen
2560;Bevel;Ja;Antwerpen
1547;BEVER;Neen;Vlaams-Brabant
4960;Bevercé;Ja;Luik
9700;Bevere;Ja;Oost-Vlaanderen 
8791;Beveren;Ja;West-Vlaanderen
8800;Beveren;Ja;West-Vlaanderen
8691;Beveren-Aan-De-Ijzer;Ja;West-Vlaanderen
9120;BEVEREN-WAAS;Neen;Oost-Vlaanderen 
3581;Beverlo;Ja;Limburg
3740;Beverst;Ja;Limburg
4610;BEYNE-HEUSAY;Neen;Luik
6543;Bienne-Lez-Happart;Ja;Henegouwen
3360;BIERBEEK;Neen;Vlaams-Brabant
6533;Biercée;Ja;Henegouwen
1301;Bierges;Ja;Waals-Brabant
1430;Bierghes;Ja;Waals-Brabant
4460;Bierset;Ja;Luik
5380;Bierwart;Ja;Namen
5640;Biesme;Ja;Namen
6531;Biesme-Sous-Thuin;Ja;Henegouwen
5640;Biesmerée;Ja;Namen
5555;BIÈVRE;Neen;Namen
1390;Biez;Ja;Waals-Brabant
6690;Bihain;Ja;Luxemburg
8920;Bikschote;Ja;West-Vlaanderen
4831;Bilstain;Ja;Luik
3740;BILZEN;Neen;Limburg
7130;BINCHE;Neen;Henegouwen
3850;Binderveld;Ja;Limburg
3211;Binkom;Ja;Vlaams-Brabant
5537;Bioul;Ja;Namen
8501;Bissegem;Ja;West-Vlaanderen
7783;Bizet;Ja;Henegouwen
2830;Blaasveld;Ja;Antwerpen
5542;Blaimont;Ja;Namen
7522;Blandain;Ja;Henegouwen
3052;Blanden;Ja;Vlaams-Brabant
8370;BLANKENBERGE;Neen;West-Vlaanderen
7040;Blaregnies;Ja;Henegouwen
7321;Blaton;Ja;Henegouwen
7370;Blaugies;Ja;Henegouwen
4670;BLÉGNY;Neen;Luik
7620;Bléharies;Ja;Henegouwen
4280;Blehen;Ja;Luik
6760;Bleid;Ja;Luxemburg
4300;Bleret;Ja;Luik
7903;Blicquy;Ja;Henegouwen
3950;BOCHOLT;Neen;Limburg
4537;Bodegnée;Ja;Luik
2530;BOECHOUT;Neen;Antwerpen
3890;Boekhout;Ja;Limburg
9961;Boekhoute;Ja;Oost-Vlaanderen 
4250;Boëlhe;Ja;Luik
8904;Boezinge;Ja;West-Vlaanderen
1670;Bogaarden;Ja;Vlaams-Brabant
5550;Bohan;Ja;Namen
5140;Boignée;Ja;Namen
4690;Boirs;Ja;Luik
7170;Bois-D'Haine;Ja;Henegouwen
7866;Bois-De-Lessines;Ja;Henegouwen
5170;Bois-De-Villers;Ja;Namen
4560;Bois-Et-Borsu;Ja;Luik
5310;Bolinne;Ja;Namen
4653;Bolland;Ja;Luik
1367;Bomal;Ja;Waals-Brabant
6941;Bomal-Sur-Ourthe;Ja;Luxemburg
4607;Bombaye;Ja;Luik
3840;Bommershoven;Ja;Limburg
7603;Bon-Secours;Ja;Henegouwen
4100;Boncelles;Ja;Luik
5310;Boneffe;Ja;Namen
2820;BONHEIDEN;Neen;Antwerpen
5021;Boninne;Ja;Namen
1325;Bonlez;Ja;Waals-Brabant
6700;Bonnert;Ja;Luxemburg
5300;Bonneville;Ja;Namen
5377;Bonsin;Ja;Namen
2221;Booischot;Ja;Antwerpen
8630;Booitshoeke;Ja;West-Vlaanderen
2850;BOOM;Neen;Antwerpen
3631;Boorsem;Ja;Limburg
3190;BOORTMEERBEEK;Neen;Vlaams-Brabant
1761;Borchtlombeek;Ja;Vlaams-Brabant
2140;Borgerhout;Ja;Antwerpen
3840;BORGLOON;Neen;Limburg
4317;Borlez;Ja;Luik
3891;Borlo;Ja;Limburg
6941;Borlon;Ja;Luxemburg
2880;BORNEM;Neen;Antwerpen
1404;Bornival;Ja;Waals-Brabant
2150;BORSBEEK;Neen;Antwerpen
9552;Borsbeke;Ja;Oost-Vlaanderen 
5032;Bossière;Ja;Namen
8583;Bossuit;Ja;West-Vlaanderen
1390;Bossut-Gottechain;Ja;Waals-Brabant
3300;Bost;Ja;Vlaams-Brabant
5032;Bothey;Ja;Namen
9820;Bottelare;Ja;Oost-Vlaanderen 
6200;Bouffioulx;Ja;Henegouwen
5004;Bouge;Ja;Namen
7040;Bougnies;Ja;Henegouwen
6830;BOUILLON;Neen;Luxemburg
6464;Bourlers;Ja;Henegouwen
5575;Bourseigne-Neuve;Ja;Namen
5575;Bourseigne-Vieille;Ja;Namen
7110;Boussoit;Ja;Henegouwen
7300;BOUSSU;Neen;Henegouwen
5660;Boussu-En-Fagne;Ja;Namen
6440;Boussu-Lez-Walcourt;Ja;Henegouwen
1470;Bousval;Ja;Waals-Brabant
3370;BOUTERSEM;Neen;Vlaams-Brabant
5500;Bouvignes-Sur-Meuse;Ja;Namen
7803;Bouvignies;Ja;Henegouwen
2288;Bouwel;Ja;Antwerpen
8680;Bovekerke;Ja;West-Vlaanderen
3870;Bovelingen;Ja;Limburg
4300;Bovenistier;Ja;Luik
5081;Bovesse;Ja;Namen
6671;Bovigny;Ja;Luxemburg
4990;Bra;Ja;Luik
7604;Braffe;Ja;Henegouwen
5590;Braibant;Ja;Namen
1420;BRAINE-L'ALLEUD;Neen;Waals-Brabant
1440;BRAINE-LE-CHÂTEAU;Neen;Waals-Brabant
7090;BRAINE-LE-COMTE;Neen;Henegouwen
4260;BRAIVES;Neen;Luik
9660;BRAKEL;Neen;Oost-Vlaanderen 
5310;Branchon;Ja;Namen
6800;Bras;Ja;Luxemburg
7604;Brasmenil;Ja;Henegouwen
2930;BRASSCHAAT;Neen;Antwerpen
7130;Bray;Ja;Henegouwen
2960;BRECHT;Neen;Antwerpen
8450;BREDENE;Neen;West-Vlaanderen
3960;BREE;Neen;Limburg
2870;Breendonk;Ja;Antwerpen
4020;Bressoux;Ja;Luik
8900;Brielen;Ja;West-Vlaanderen
2520;Broechem;Ja;Antwerpen
3840;Broekom;Ja;Limburg
1931;Brucargo;;
7940;BRUGELETTE;Neen;Henegouwen
8000;BRUGGE;Neen;West-Vlaanderen
5660;Brûly;Ja;Namen
5660;Brûly-De-Pesche;Ja;Namen
7620;BRUNEHAUT;Neen;Henegouwen
1785;Brussegem;Ja;Vlaams-Brabant
1000;BRUSSEL;Neen;Brussel (19 gemeenten)
1099;Brussel X;;
3800;Brustem;Ja;Limburg
7641;Bruyelle;Ja;Henegouwen
6222;Brye;Ja;Henegouwen
3440;Budingen;Ja;Vlaams-Brabant
9255;BUGGENHOUT;Neen;Oost-Vlaanderen 
7911;Buissenal;Ja;Henegouwen
5580;Buissonville;Ja;Namen
1501;Buizingen;Ja;Vlaams-Brabant
1910;Buken;Ja;Vlaams-Brabant
8630;Bulskamp;Ja;West-Vlaanderen
3380;Bunsbeek;Ja;Vlaams-Brabant
2070;Burcht;Ja;Antwerpen
4210;BURDINNE;Neen;Luik
6927;Bure;Ja;Luxemburg
4790;BURG-REULAND;Neen;Luik
9420;Burst;Ja;Oost-Vlaanderen 
7602;Bury;Ja;Henegouwen
4750;BUTGENBACH;Neen;Luik
3891;Buvingen;Ja;Limburg
7133;Buvrinnes;Ja;Henegouwen
6743;Buzenol;Ja;Luxemburg
6230;Buzet;Ja;Henegouwen
4760;BÜLLINGEN;Neen;Luik
7604;Callenelle;Ja;Henegouwen
7642;Calonne;Ja;Henegouwen
7940;Cambron-Casteau;Ja;Henegouwen
7870;Cambron-Saint-Vincent;Ja;Henegouwen
1804;Cargovil;;
6850;Carlsbourg;Ja;Luxemburg
7141;Carnières;Ja;Henegouwen
7061;Casteau;Ja;Henegouwen
5650;Castillon;Ja;Namen
4317;Celles;Ja;Luik
5561;Celles;Ja;Namen
7760;CELLES;Neen;Henegouwen
4632;Cérexhe-Heuseux;Ja;Luik
5630;CERFONTAINE;Neen;Namen
1341;Céroux-Mousty;Ja;Waals-Brabant
4650;Chaineux;Ja;Luik
5550;Chairière;Ja;Namen
5020;Champion;Ja;Namen
6971;Champlon;Ja;Luxemburg
6921;Chanly;Ja;Luxemburg
6742;Chantemelle;Ja;Luxemburg
7903;Chapelle-À-Oie;Ja;Henegouwen
7903;Chapelle-À-Wattines;Ja;Henegouwen
7160;CHAPELLE-LEZ-HERLAIMONT;Neen;Henegouwen
4537;Chapon-Seraing;Ja;Luik
6000;CHARLEROI;Neen;Henegouwen
6099;Charleroi X;;
4654;Charneux;Ja;Luik
6824;Chassepierre;Ja;Luxemburg
1450;CHASTRE;Neen;Waals-Brabant
1450;Chastre-Villeroux-Blanmont;Ja;Waals-Brabant
5650;Chastrès;Ja;Namen
6200;CHÂTELET;Neen;Henegouwen
6200;Châtelineau;Ja;Henegouwen
6747;Châtillon;Ja;Luxemburg
4050;CHAUDFONTAINE;Neen;Luik
1325;CHAUMONT-GISTOUX;Neen;Waals-Brabant
7063;Chaussée-Notre-Dame-Louvignies;Ja;Henegouwen
4032;Chênee;Ja;Luik
6673;Cherain;Ja;Luxemburg
4602;Cheratte;Ja;Luik
7521;Chercq;Ja;Henegouwen
5590;Chevetogne;Ja;Namen
4987;Chevron;Ja;Luik
7950;CHIÈVRES;Neen;Henegouwen
6460;CHIMAY;Neen;Henegouwen
6810;CHINY;Neen;Luxemburg
4400;Chokier;Ja;Luik
1031;Christelijke Sociale Organisaties;;
5560;Ciergnon;Ja;Namen
5590;CINEY;Neen;Namen
4260;Ciplet;Ja;Luik
7024;Ciply;Ja;Henegouwen
1480;Clabecq;Ja;Waals-Brabant
4560;CLAVIER;Neen;Luik
4890;Clermont;Ja;Luik
5650;Clermont;Ja;Namen
4480;Clermont-Sous-Huy;Ja;Luik
5022;Cognelée;Ja;Namen
7340;COLFONTAINE;Neen;Henegouwen
4170;COMBLAIN-AU-PONT;Neen;Luik
4180;Comblain-Fairon;Ja;Luik
4180;Comblain-La-Tour;Ja;Luik
5590;Conneux;Ja;Namen
1435;Corbais;Ja;Waals-Brabant
6838;Corbion;Ja;Luxemburg
7910;Cordes;Ja;Henegouwen
5620;Corenne;Ja;Namen
4860;Cornesse;Ja;Luik
5555;Cornimont;Ja;Namen
1935;Corporate Village;;
5032;Corroy-Le-Château;Ja;Namen
1325;Corroy-Le-Grand;Ja;Waals-Brabant
4257;Corswarem;Ja;Luik
